# omega0 omegab hubble scalar_amp ns w0 wa mnu Neff alphas 
3.929200e-01 5.087000e-02 7.163733e-01 2.686667e-09 8.094000e-01 -8.877000e-01 -1.331667e+00 1.860000e-01 2.805667e+00 -9.933333e-03 
2.225200e-01 4.355000e-02 7.310933e-01 2.860000e-09 1.036600e+00 -9.476333e-01 -7.390000e-01 4.852000e-01 3.351533e+00 -1.206667e-02 
3.223600e-01 5.233000e-02 6.534400e-01 2.012000e-09 8.970000e-01 2.035000e-01 -2.993000e+00 3.036000e-01 3.995533e+00 -1.780000e-02 
3.422800e-01 4.739000e-02 6.519467e-01 1.473333e-09 9.590000e-01 -7.699000e-01 4.966667e-02 2.040000e-02 2.686067e+00 4.820000e-02 
2.659600e-01 5.469000e-02 7.063467e-01 2.398667e-09 9.018000e-01 -1.106767e+00 -2.657000e+00 3.628000e-01 3.826867e+00 -2.740000e-02 
2.830000e-01 4.059000e-02 6.016000e-01 1.718667e-09 8.370000e-01 -4.036667e-02 -3.096667e-01 4.076000e-01 3.314733e+00 -1.193333e-02 
3.967600e-01 4.719000e-02 7.200000e-01 1.137333e-09 1.047400e+00 -6.128333e-01 -1.145000e+00 1.380000e-01 2.630867e+00 2.926667e-02 
2.633200e-01 5.461000e-02 6.436267e-01 2.780000e-09 8.918000e-01 -4.185667e-01 -2.904333e+00 5.140000e-01 3.471133e+00 -4.333333e-03 
3.038800e-01 4.705000e-02 7.069867e-01 1.076000e-09 9.434000e-01 1.766333e-01 -1.257000e+00 2.280000e-02 3.882067e+00 -3.660000e-02 
3.418000e-01 4.147000e-02 6.749867e-01 1.729333e-09 1.001000e+00 -1.239033e+00 2.166667e-02 3.852000e-01 2.477533e+00 2.140000e-02 
2.311600e-01 4.725000e-02 7.253333e-01 2.116000e-09 8.342000e-01 -1.129500e+00 -1.416667e-01 2.212000e-01 4.090600e+00 2.233333e-02 
3.031600e-01 4.481000e-02 6.020267e-01 2.588000e-09 1.065800e+00 -7.637000e-01 -1.625667e+00 1.708000e-01 3.149133e+00 -4.846667e-02 
3.698800e-01 5.025000e-02 7.061333e-01 1.564000e-09 9.110000e-01 1.559667e-01 -2.069000e+00 4.684000e-01 2.216867e+00 1.180000e-02 
2.290000e-01 4.187000e-02 6.862933e-01 2.190667e-09 1.059000e+00 -1.205967e+00 -5.383333e-01 2.012000e-01 3.783933e+00 -2.526667e-02 
3.120400e-01 5.351000e-02 6.333867e-01 1.068000e-09 8.866000e-01 -6.603667e-01 -2.531000e+00 4.740000e-01 2.928333e+00 1.266667e-03 
3.794800e-01 4.657000e-02 7.155200e-01 2.972000e-09 9.246000e-01 2.469000e-01 -1.336333e+00 1.700000e-01 3.118467e+00 2.060000e-02 
2.544400e-01 5.375000e-02 7.419733e-01 1.996000e-09 8.894000e-01 -5.632333e-01 -4.123333e-01 3.820000e-01 3.909667e+00 -4.286667e-02 
2.815600e-01 4.565000e-02 6.619733e-01 1.065333e-09 9.102000e-01 -2.553000e-01 -2.405000e+00 2.920000e-02 3.422067e+00 4.340000e-02 
3.564400e-01 4.331000e-02 6.060800e-01 2.948000e-09 1.005400e+00 -7.926333e-01 -1.621000e+00 4.180000e-01 2.692200e+00 -8.866667e-03 
2.779600e-01 4.675000e-02 6.739200e-01 1.366667e-09 8.074000e-01 -1.245233e+00 -1.803000e+00 4.132000e-01 3.636733e+00 3.313333e-02 
2.904400e-01 5.439000e-02 7.394133e-01 2.449333e-09 9.462000e-01 -7.343333e-02 -2.512333e+00 1.980000e-01 3.796200e+00 -4.646667e-02 
3.785200e-01 4.353000e-02 6.474667e-01 2.329333e-09 1.091400e+00 -7.471667e-01 3.100000e-02 2.364000e-01 2.667667e+00 -1.593333e-02 
2.239600e-01 5.093000e-02 6.564267e-01 2.862667e-09 1.091800e+00 -5.963000e-01 -1.019000e+00 3.452000e-01 3.667400e+00 -3.193333e-02 
2.926000e-01 4.491000e-02 7.520000e-01 1.825333e-09 8.606000e-01 -9.125000e-01 -4.730000e-01 5.444000e-01 3.799267e+00 4.273333e-02 
3.902800e-01 4.899000e-02 6.525867e-01 1.358667e-09 9.662000e-01 -1.457667e-01 -2.171667e+00 2.000000e-03 2.768867e+00 2.200000e-03 
2.753200e-01 4.925000e-02 7.511467e-01 2.625333e-09 9.490000e-01 3.816667e-02 -4.870000e-01 1.880000e-02 4.188733e+00 1.313333e-02 
2.875600e-01 4.101000e-02 6.248533e-01 1.329333e-09 1.071800e+00 -8.422333e-01 -9.956667e-01 2.076000e-01 2.480600e+00 -2.286667e-02 
3.936400e-01 5.051000e-02 6.551467e-01 1.758667e-09 8.078000e-01 -5.880333e-01 -2.120333e+00 5.276000e-01 3.379133e+00 2.820000e-02 
2.333200e-01 4.647000e-02 6.997333e-01 2.465333e-09 1.057400e+00 -6.769000e-01 1.243333e-01 1.348000e-01 2.431533e+00 2.633333e-02 
2.878000e-01 5.373000e-02 6.065067e-01 1.814667e-09 8.302000e-01 -2.346333e-01 -1.747000e+00 4.708000e-01 3.222733e+00 -4.326667e-02 
3.677200e-01 4.181000e-02 7.424000e-01 1.644000e-09 9.038000e-01 -1.071633e+00 -1.863667e+00 2.660000e-01 4.473933e+00 -2.333333e-03 
2.306800e-01 4.515000e-02 6.632533e-01 2.553333e-09 9.410000e-01 -9.616667e-02 -2.941667e+00 2.636000e-01 2.385533e+00 -3.800000e-03 
3.226000e-01 4.477000e-02 6.365867e-01 1.857333e-09 1.083400e+00 -1.150167e+00 -1.696667e-01 1.480000e-02 3.900467e+00 2.193333e-02 
3.917200e-01 5.183000e-02 7.174400e-01 1.361333e-09 8.238000e-01 -5.570333e-01 -1.014333e+00 4.908000e-01 3.415933e+00 -3.100000e-02 
2.573200e-01 5.231000e-02 7.552000e-01 2.046667e-09 1.004200e+00 -1.053033e+00 -4.963333e-01 4.876000e-01 4.222467e+00 1.100000e-02 
3.278800e-01 4.167000e-02 6.267733e-01 2.684000e-09 9.650000e-01 1.373667e-01 -1.929000e+00 3.484000e-01 3.615267e+00 4.553333e-02 
